program,specialty,nucc_code,nucc_classification,nucc_specialization,nucc_definition,match_confidence
MCO,ENT/Otolaryngology,207Y00000X,Otolaryngology,,"An otolaryngologist-head and neck surgeon provides comprehensive medical and surgical care for patients with diseases and disorders that affect the ears, nose, throat, the respiratory and upper alimentary systems and related structures of the head and neck. An otolaryngologist diagnoses and provides medical and/or surgical therapy or prevention of diseases, allergies, neoplasms, deformities, disorders and/or injuries of the ears, nose, sinuses, throat, respiratory and upper alimentary systems, face, jaws and the other head and neck systems. Head and neck oncology, facial plastic and reconstructive surgery and the treatment of disorders of hearing and voice are fundamental areas of expertise.",best-effort
MCO,Gastroenterology,207RG0100X,Internal Medicine,Gastroenterology,"An internist who specializes in diagnosis and treatment of diseases of the digestive organs including the stomach, bowels, liver and gallbladder. This specialist treats conditions such as abdominal pain, ulcers, diarrhea, cancer and jaundice and performs complex diagnostic and therapeutic procedures using endoscopes to visualize internal organs.",best-effort
MCO,General Surgery,208600000X,Surgery,,"A general surgeon has expertise related to the diagnosis - preoperative, operative and postoperative management - and management of complications of surgical conditions in the following areas: alimentary tract; abdomen; breast, skin and soft tissue; endocrine system; head and neck surgery; pediatric surgery; surgical critical care; surgical oncology; trauma and burns; and vascular surgery. General surgeons increasingly provide care through the use of minimally invasive and endoscopic techniques. Many general surgeons also possess expertise in transplantation surgery, plastic surgery and cardiothoracic surgery.",best-effort
MCO,"Gynecology, OB/GYN",207V00000X,Obstetrics & Gynecology,,"An obstetrician/gynecologist possesses special knowledge, skills and professional capability in the medical and surgical care of the female reproductive system and associated disorders. This physician serves as a consultant to other physicians and as a primary physician for women.",best-effort
MCO,Hospital,261QC0050X,Clinic/Center,Critical Access Hospital,"An outpatient entity, facility, or distinct part of a facility within or affiliated with a Critical Access Hospital that provides access to primary care services for individuals in a small rural community and is Medicare certified.",best-effort
MCO,Nephrology,207RN0300X,Internal Medicine,Nephrology,"An internist who treats disorders of the kidney, high blood pressure, fluid and mineral balance and dialysis of body wastes when the kidneys do not function. This specialist consults with surgeons about kidney transplantation.",best-effort
MCO,Neurology,2084A0401X,Psychiatry & Neurology,Addiction Medicine,A doctor of osteopathy board eligible/certified in the field of Psychiatry by the American Osteopathic Board of Neurology and Psychiatry is able to obtain a Certificate of Added Qualifications in the field of Addiction Medicine,best-effort
MCO,Oncology,207RX0202X,Internal Medicine,Medical Oncology,An internist who specializes in the diagnosis and treatment of all types of cancer and other benign and malignant tumors. This specialist decides on and administers therapy for these malignancies as well as consults with surgeons and radiotherapists on other treatments for cancer.,best-effort
MCO,Oral Surgery,204E00000X,Oral & Maxillofacial Surgery,,"Oral and maxillofacial surgeons are trained to recognize and treat a wide spectrum of diseases, injuries and defects in the head, neck, face, jaws and the hard and soft tissues of the oral and maxillofacial region. They are also trained to administer anesthesia, and provide care in an office setting. They are trained to treat problems such as the extraction of wisdom teeth, misaligned jaws, tumors and cysts of the jaw and mouth, and to perform dental implant surgery.",best-effort
MCO,Orthopedics,207X00000X,Orthopaedic Surgery,,"An orthopaedic surgeon is trained in the preservation, investigation and restoration of the form and function of the extremities, spine and associated structures by medical, surgical and physical means.  An orthopaedic surgeon is involved with the care of patients whose musculoskeletal problems include congenital deformities, trauma, infections, tumors, metabolic disturbances of the musculoskeletal system, deformities, injuries and degenerative diseases of the spine, hands, feet, knee, hip, shoulder and elbow in children and adults. An orthopaedic surgeon is also concerned with primary and secondary muscular problems and the effects of central or peripheral nervous system lesions of the musculoskeletal system.",best-effort
MCO,Pediatrics,208000000X,Pediatrics,,"A pediatrician is concerned with the physical, emotional and social health of children from birth to young adulthood. Care encompasses a broad spectrum of health services ranging from preventive healthcare to the diagnosis and treatment of acute and chronic diseases. A pediatrician deals with biological, social and environmental influences on the developing child, and with the impact of disease and dysfunction on development.",best-effort
MCO,Pediatric Dentistry,122300000X,Dentist,,"A dentist is a person qualified by a doctorate in dental surgery (D.D.S.) or dental medicine (D.M.D.), licensed by the state to practice dentistry, and practicing within the scope of that license.  There is no difference between the two degrees: dentists who have a DMD or DDS have the same education.  Universities have the prerogative to determine what degree is awarded.  Both degrees use the same curriculum requirements set by the American Dental Association's Commission on Dental Accreditation.  Generally, three or more years of undergraduate education plus four years of dental school is required to graduate and become a general dentist.  State licensing boards accept either degree as equivalent, and both degrees allow licensed individuals to practice the same scope of general dentistry.  Additional post-graduate training is required to become a dental specialist.",best-effort
MCO,Pediatric Behavioral Health,2084P0804X,Psychiatry & Neurology,Child & Adolescent Psychiatry,"Child & Adolescent Psychiatry is a subspecialty of psychiatry with additional skills and training in the diagnosis and treatment of developmental, behavioral, emotional, and mental disorders of childhood and adolescence.",best-effort
MCO,Pediatric Behavioral Health,103TC2200X,Psychologist,Clinical Child & Adolescent,"A psychologist who develops and applies scientific knowledge to the delivery of psychological services to infants, toddlers, children and adolescents within their social context.  Of particular importance to the specialty of clinical child psychology is an understanding of the basic psychological needs of children and adolescents, and how the family and other social contexts influence the socio-emotional adjustment, cognitive development, behavioral adaptation and health status of children and adolescents.",best-effort
MCO,Podiatry,213E00000X,Podiatrist,,"A podiatrist is a person qualified by a Doctor of Podiatric Medicine (D.P.M.) degree, licensed by the state, and practicing within the scope of that license. Podiatrists diagnose and treat foot diseases and deformities. They perform medical, surgical and other operative procedures, prescribe corrective devices and prescribe and administer drugs and physical therapy.",best-effort
MCO,Psychiatry,2084A0401X,Psychiatry & Neurology,Addiction Medicine,A doctor of osteopathy board eligible/certified in the field of Psychiatry by the American Osteopathic Board of Neurology and Psychiatry is able to obtain a Certificate of Added Qualifications in the field of Addiction Medicine,best-effort
MCO,Radiology,2085R0202X,Radiology,Diagnostic Radiology,"A radiologist who utilizes x-ray, radionuclides, ultrasound and electromagnetic radiation to diagnose and treat disease.",best-effort
MCO,SUD - Outpatient,261QM0850X,Clinic/Center,Adult Mental Health,"An entity, facility, or distinct part of a facility providing diagnostic, treatment, and prescriptive services related to mental and behavioral disorders in adults.",best-effort
MCO,SUD - Outpatient,103TA0400X,Psychologist,Addiction (Substance Use Disorder),"A psychologist with a proficiency that involves the application of psychological treatment of addiction stemming from the use of alcohol and other psychoactive substances (e.g., nicotine, marijuana, cocaine, heroin) or behavioral addictions (e.g., gambling) with the aim of cessation or reduction of use and/or the amelioration of emotional, behavioral, interpersonal and other problems arising from the addictive behavior.",best-effort
MCO,SUD - Residential,261QM0850X,Clinic/Center,Adult Mental Health,"An entity, facility, or distinct part of a facility providing diagnostic, treatment, and prescriptive services related to mental and behavioral disorders in adults.",best-effort
MCO,Surgical Services - Outpatient,261Q00000X,Clinic/Center,,"A facility or distinct part of one used for the diagnosis and treatment of outpatients. ""Clinic/Center"" is irregularly defined, sometimes being limited to organizations serving specialized treatment requirements or distinct patient/client groups (e.g., radiology, poor, and public health).",best-effort
MCO,Urology,207U00000X,Nuclear Medicine,,"A nuclear medicine specialist employs the properties of radioactive atoms and molecules in the diagnosis and treatment of disease and in research. Radiation detection and imaging instrument systems are used to detect disease as it changes the function and metabolism of normal cells, tissues and organs. A wide variety of diseases can be found in this way, usually before the structure of the organ involved by the disease can be seen to be abnormal by any other techniques. Early detection of coronary artery disease (including acute heart attack), early cancer detection and evaluation of the effect of tumor treatment, diagnosis of infection and inflammation anywhere in the body and early detection of blood clot in the lungs are all possible with these techniques. Unique forms of radioactive molecules can attack and kill cancer cells (e.g., lymphoma, thyroid cancer) or can relieve the severe pain of cancer that has spread to bone",best-effort
MCOP,Primary Care,207R00000X,Internal Medicine,,"A physician who provides long-term, comprehensive care in the office and the hospital, managing both common and complex illness of adolescents, adults and the elderly. Internists are trained in the diagnosis and treatment of cancer, infections and diseases affecting the heart, blood, kidneys, joints and digestive, respiratory and vascular systems. They are also trained in the essentials of primary care internal medicine, which incorporates an understanding of disease prevention, wellness, substance abuse, mental health and effective treatment of common problems of the eyes, ears, skin, nervous system and reproductive organs.",best-effort
MCOP,Primary Care,208D00000X,General Practice,,"A physician who specializes in the general practice of diagnosing, treating, and managing patients with a variety of illnesses and conditions.",best-effort
MCOP,Allergy and Immunology,207K00000X,Allergy & Immunology,,"An allergist-immunologist is trained in evaluation, physical and laboratory diagnosis, and management of disorders involving the immune system. Selected examples of such conditions include asthma, anaphylaxis, rhinitis, eczema, and adverse reactions to drugs, foods, and insect stings as well as immune deficiency diseases (both acquired and congenital), defects in host defense, and problems related to autoimmune disease, organ transplantation, or malignancies of the immune system.",best-effort
MCOP,Cardiology,207RC0000X,Internal Medicine,Cardiovascular Disease,"An internist who specializes in diseases of the heart and blood vessels and manages complex cardiac conditions such as heart attacks and life-threatening, abnormal heartbeat rhythms.",best-effort
MCOP,Chiropractor,111N00000X,Chiropractor,,"A provider qualified by a Doctor of Chiropractic (D.C.), licensed by the State and who practices chiropractic medicine -that discipline within the healing arts which deals with the nervous system and its relationship to the spinal column and its interrelationship with other body systems.",best-effort
MCOP,Dermatology,207N00000X,Dermatology,,"A dermatologist is trained to diagnose and treat pediatric and adult patients with benign and malignant disorders of the skin, mouth, external genitalia, hair and nails, as well as a number of sexually transmitted diseases. The dermatologist has had additional training and experience in the diagnosis and treatment of skin cancers, melanomas, moles and other tumors of the skin, the management of contact dermatitis and other allergic and nonallergic skin disorders, and in the recognition of the skin manifestations of systemic (including internal malignancy) and infectious diseases. Dermatologists have special training in dermatopathology and in the surgical techniques used in dermatology. They also have expertise in the management of cosmetic disorders of the skin such as hair loss and scars and the skin changes associated with aging.",best-effort
MCOP,Endocrinology,207RE0101X,Internal Medicine,"Endocrinology, Diabetes & Metabolism","An internist who concentrates on disorders of the internal (endocrine) glands such as the thyroid and adrenal glands. This specialist also deals with disorders such as diabetes, metabolic and nutritional disorders, obesity, pituitary diseases and menstrual and sexual problems.",best-effort
MCOP,ENT/Otolaryngology,207Y00000X,Otolaryngology,,"An otolaryngologist-head and neck surgeon provides comprehensive medical and surgical care for patients with diseases and disorders that affect the ears, nose, throat, the respiratory and upper alimentary systems and related structures of the head and neck. An otolaryngologist diagnoses and provides medical and/or surgical therapy or prevention of diseases, allergies, neoplasms, deformities, disorders and/or injuries of the ears, nose, sinuses, throat, respiratory and upper alimentary systems, face, jaws and the other head and neck systems. Head and neck oncology, facial plastic and reconstructive surgery and the treatment of disorders of hearing and voice are fundamental areas of expertise.",best-effort
MCOP,Gastroenterology,207RG0100X,Internal Medicine,Gastroenterology,"An internist who specializes in diagnosis and treatment of diseases of the digestive organs including the stomach, bowels, liver and gallbladder. This specialist treats conditions such as abdominal pain, ulcers, diarrhea, cancer and jaundice and performs complex diagnostic and therapeutic procedures using endoscopes to visualize internal organs.",best-effort
MCOP,General Surgery,208600000X,Surgery,,"A general surgeon has expertise related to the diagnosis - preoperative, operative and postoperative management - and management of complications of surgical conditions in the following areas: alimentary tract; abdomen; breast, skin and soft tissue; endocrine system; head and neck surgery; pediatric surgery; surgical critical care; surgical oncology; trauma and burns; and vascular surgery. General surgeons increasingly provide care through the use of minimally invasive and endoscopic techniques. Many general surgeons also possess expertise in transplantation surgery, plastic surgery and cardiothoracic surgery.",best-effort
MCOP,Gynecology/OBGYN,207V00000X,Obstetrics & Gynecology,,"An obstetrician/gynecologist possesses special knowledge, skills and professional capability in the medical and surgical care of the female reproductive system and associated disorders. This physician serves as a consultant to other physicians and as a primary physician for women.",best-effort
MCOP,Infectious Diseases,207RI0200X,Internal Medicine,Infectious Disease,An internist who deals with infectious diseases of all types and in all organ systems. Conditions requiring selective use of antibiotics call for this special skill. This physician often diagnoses and treats AIDS patients and patients with fevers which have not been explained. Infectious disease specialists may also have expertise in preventive medicine and travel medicine.,best-effort
MCOP,Nephrology,207RN0300X,Internal Medicine,Nephrology,"An internist who treats disorders of the kidney, high blood pressure, fluid and mineral balance and dialysis of body wastes when the kidneys do not function. This specialist consults with surgeons about kidney transplantation.",best-effort
MCOP,Neurology,2084A0401X,Psychiatry & Neurology,Addiction Medicine,A doctor of osteopathy board eligible/certified in the field of Psychiatry by the American Osteopathic Board of Neurology and Psychiatry is able to obtain a Certificate of Added Qualifications in the field of Addiction Medicine,best-effort
MCOP,Neurosurgery,207T00000X,Neurological Surgery,,"A neurological surgeon provides the operative and non-operative management (i.e., prevention, diagnosis, evaluation, treatment, critical care, and rehabilitation) of disorders of the central, peripheral, and autonomic nervous systems, including their supporting structures and vascular supply; the evaluation and treatment of pathological processes which modify function or activity of the nervous system; and the operative and non-operative management of pain. A neurological surgeon treats patients with disorders of the nervous system; disorders of the brain, meninges, skull, and their blood supply, including the extracranial carotid and vertebral arteries; disorders of the pituitary gland; disorders of the spinal cord, meninges, and vertebral column, including those which may require treatment by spinal fusion or instrumentation; and disorders of the cranial and spinal nerves throughout their distribution.",best-effort
MCOP,Oncology,207RX0202X,Internal Medicine,Medical Oncology,An internist who specializes in the diagnosis and treatment of all types of cancer and other benign and malignant tumors. This specialist decides on and administers therapy for these malignancies as well as consults with surgeons and radiotherapists on other treatments for cancer.,best-effort
MCOP,Ophthalmology,207W00000X,Ophthalmology,,"An ophthalmologist has the knowledge and professional skills needed to provide comprehensive eye and vision care. Ophthalmologists are medically trained to diagnose, monitor and medically or surgically treat all ocular and visual disorders. This includes problems affecting the eye and its component structures, the eyelids, the orbit and the visual pathways. In so doing, an ophthalmologist prescribes vision services, including glasses and contact lenses.",best-effort
MCOP,Orthopedic Surgery,207X00000X,Orthopaedic Surgery,,"An orthopaedic surgeon is trained in the preservation, investigation and restoration of the form and function of the extremities, spine and associated structures by medical, surgical and physical means.  An orthopaedic surgeon is involved with the care of patients whose musculoskeletal problems include congenital deformities, trauma, infections, tumors, metabolic disturbances of the musculoskeletal system, deformities, injuries and degenerative diseases of the spine, hands, feet, knee, hip, shoulder and elbow in children and adults. An orthopaedic surgeon is also concerned with primary and secondary muscular problems and the effects of central or peripheral nervous system lesions of the musculoskeletal system.",best-effort
MCOP,"Physiatry, Rehabilitative Medicine",208100000X,Physical Medicine & Rehabilitation,,"Physical medicine and rehabilitation, also referred to as rehabilitation medicine, is the medical specialty concerned with diagnosing, evaluating, and treating patients with physical disabilities. These disabilities may arise from conditions affecting the musculoskeletal system such as neck and back pain, sports injuries, or other painful conditions affecting the limbs, such as carpal tunnel syndrome. Alternatively, the disabilities may result from neurological trauma or disease such as spinal cord injury, head injury or stroke. A physician certified in physical medicine and rehabilitation is often called a physiatrist. The primary goal of the physiatrist is to achieve maximal restoration of physical, psychological, social and vocational function through comprehensive rehabilitation. Pain management is often an important part of the role of the physiatrist. For diagnosis and evaluation, a physiatrist may include the techniques of electromyography to supplement the standard history, physical, x-ray and laboratory examinations. The physiatrist has expertise in the appropriate use of therapeutic exercise, prosthetics (artificial limbs), orthotics and mechanical and electrical devices.",best-effort
MCOP,Plastic Surgery,208200000X,Plastic Surgery,,"A plastic surgeon deals with the repair, reconstruction or replacement of physical defects of form or function involving the skin, musculoskeletal system, craniomaxillofacial structures, hand, extremities, breast and trunk and external genitalia or cosmetic enhancement of these areas of the body. Cosmetic surgery is an essential component of plastic surgery. The plastic surgeon uses cosmetic surgical principles to both improve overall appearance and to optimize the outcome of reconstructive procedures. The surgeon uses aesthetic surgical principles not only to improve undesirable qualities of normal structures but in all reconstructive procedures as well.",best-effort
MCOP,Podiatry,213E00000X,Podiatrist,,"A podiatrist is a person qualified by a Doctor of Podiatric Medicine (D.P.M.) degree, licensed by the state, and practicing within the scope of that license. Podiatrists diagnose and treat foot diseases and deformities. They perform medical, surgical and other operative procedures, prescribe corrective devices and prescribe and administer drugs and physical therapy.",best-effort
MCOP,Psychiatry,2084A0401X,Psychiatry & Neurology,Addiction Medicine,A doctor of osteopathy board eligible/certified in the field of Psychiatry by the American Osteopathic Board of Neurology and Psychiatry is able to obtain a Certificate of Added Qualifications in the field of Addiction Medicine,best-effort
MCOP,Pulmonology,207RP1001X,Internal Medicine,Pulmonary Disease,"An internist who treats diseases of the lungs and airways. The pulmonologist diagnoses and treats cancer, pneumonia, pleurisy, asthma, occupational and environmental diseases, bronchitis, sleep disorders, emphysema and other complex disorders of the lungs.",best-effort
MCOP,Rheumatology,207RR0500X,Internal Medicine,Rheumatology,"An internist who treats diseases of joints, muscle, bones and tendons. This specialist diagnoses and treats arthritis, back pain, muscle strains, common athletic injuries and ""collagen"" diseases.",best-effort
MCOP,Urology,207U00000X,Nuclear Medicine,,"A nuclear medicine specialist employs the properties of radioactive atoms and molecules in the diagnosis and treatment of disease and in research. Radiation detection and imaging instrument systems are used to detect disease as it changes the function and metabolism of normal cells, tissues and organs. A wide variety of diseases can be found in this way, usually before the structure of the organ involved by the disease can be seen to be abnormal by any other techniques. Early detection of coronary artery disease (including acute heart attack), early cancer detection and evaluation of the effect of tumor treatment, diagnosis of infection and inflammation anywhere in the body and early detection of blood clot in the lungs are all possible with these techniques. Unique forms of radioactive molecules can attack and kill cancer cells (e.g., lymphoma, thyroid cancer) or can relieve the severe pain of cancer that has spread to bone",best-effort
MCOP,Vascular Surgery,2086S0129X,Surgery,Vascular Surgery,"A surgeon with expertise in the management of surgical disorders of the blood vessels, excluding the intracranial vessels or the heart.",best-effort
MCOP,Cardiothoracic Surgery,208G00000X,Thoracic Surgery (Cardiothoracic Vascular Surgery),,"A thoracic surgeon provides the operative, perioperative and critical care of patients with pathologic conditions within the chest. Included is the surgical care of coronary artery disease, cancers of the lung, esophagus and chest wall, abnormalities of the trachea, abnormalities of the great vessels and heart valves, congenital anomalies, tumors of the mediastinum and diseases of the diaphragm. The management of the airway and injuries of the chest is within the scope of the specialty.",best-effort
MCOP,Clinical Psychology,103TC0700X,Psychologist,Clinical,"A psychologist who provides continuing and comprehensive mental and behavioral health care for individuals and families; consultation to agencies and communities; training, education and supervision; and research-based practice. It is a specialty in breadth -- one that is broadly inclusive of severe psychopathology -- and marked by comprehensiveness and integration of knowledge and skill from a broad array of disciplines within and outside of psychology proper. The scope of clinical psychology encompasses all ages, multiple diversities and varied systems.",best-effort
