source,source_code,source_name,source_category,nucc_code,nucc_grouping,nucc_classification,nucc_specialization,nucc_definition,match_confidence
DIFS,028,Podiatry,Specialist,213E00000X,Podiatric Medicine & Surgery Service Providers,Podiatrist,,"A podiatrist is a person qualified by a Doctor of Podiatric Medicine (D.P.M.) degree, licensed by the state, and practicing within the scope of that license. Podiatrists diagnose and treat foot diseases and deformities. They perform medical, surgical and other operative procedures, prescribe corrective devices and prescribe and administer drugs and physical therapy.",best-effort
DIFS,029,Psychiatry,Behavioral Health,2084P0800X,Allopathic & Osteopathic Physicians,Psychiatry & Neurology,Psychiatry,"A Psychiatrist specializes in the prevention, diagnosis, and treatment of mental disorders, emotional disorders, psychotic disorders, mood disorders, anxiety disorders, substance-related disorders, sexual and gender identity disorders and adjustment disorders. Biologic, psychological, and social components of illnesses are explored and understood in treatment of the whole person. Tools used may include diagnostic laboratory tests, prescribed medications, evaluation and treatment of psychological and interpersonal problems with individuals and families, and intervention for coping with stress, crises, and other problems.",best-effort
DIFS,030,Pulmonology,Specialist,207RP1001X,Allopathic & Osteopathic Physicians,Internal Medicine,Pulmonary Disease,"An internist who treats diseases of the lungs and airways. The pulmonologist diagnoses and treats cancer, pneumonia, pleurisy, asthma, occupational and environmental diseases, bronchitis, sleep disorders, emphysema and other complex disorders of the lungs.",best-effort
DIFS,031,Rheumatology,Specialist,207RR0500X,,Internal Medicine,,Rheumatology Physician,best-effort
DIFS,033,Urology,Specialist,208800000X,Allopathic & Osteopathic Physicians,Urology,,"A urologist manages benign and malignant medical and surgical disorders of the genitourinary system and the adrenal gland. This specialist has comprehensive knowledge of and skills in endoscopic, percutaneous and open surgery of congenital and acquired conditions of the urinary and reproductive systems and their contiguous structures.",best-effort
DIFS,034,Vascular Surgery,Specialist,2086S0129X,,Surgery,,Vascular Surgery Physician,best-effort
DIFS,035,Cardiothoracic Surgery,Specialist,208G00000X,Allopathic & Osteopathic Physicians,Thoracic Surgery (Cardiothoracic Vascular Surgery),,"A thoracic surgeon provides the operative, perioperative and critical care of patients with pathologic conditions within the chest. Included is the surgical care of coronary artery disease, cancers of the lung, esophagus and chest wall, abnormalities of the trachea, abnormalities of the great vessels and heart valves, congenital anomalies, tumors of the mediastinum and diseases of the diaphragm. The management of the airway and injuries of the chest is within the scope of the specialty.",best-effort
DIFS,037,Emergency Medicine,Specialist,207P00000X,Allopathic & Osteopathic Physicians,Emergency Medicine,,"An emergency physician focuses on the immediate decision making and action necessary to prevent death or any further disability both in the pre-hospital setting by directing emergency medical technicians and in the emergency department. The emergency physician provides immediate recognition, evaluation, care, stabilization and disposition of a generally diversified population of adult and pediatric patients in response to acute illness and injury.",best-effort
DIFS,049,Physical Therapy,Ancillary,225100000X,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers",Physical Therapist,,"Physical therapists (PTs) are licensed health care professionals who diagnose and treat individuals of all ages, from newborns to the very oldest, who have medical problems or other health-related conditions that limit their abilities to move and perform functional activities in their daily lives. PTs examine each individual and develop a plan using treatment techniques to promote the ability to move, reduce pain, restore function, and prevent disability. In addition, PTs work with individuals to prevent the loss of mobility before it occurs by developing fitness- and wellness-oriented programs for healthier and more active lifestyles. PTs: 1.Diagnose and manage movement dysfunction and enhance physical and functional abilities. 2.Restore, maintain, and promote not only optimal physical function but optimal wellness and fitness and optimal quality of life as it relates to movement and health. 3.Prevent the onset, symptoms, and progression of impairments, functional limitations, and disabilities that may result from diseases, disorders, conditions, or injuries. 4.Treat conditions of the musculoskeletal, neuromuscular, cardiovascular, pulmonary, and/or integumentary systems. 5.Address the negative effects attributable to unique personal and environmental factors as they relate to human performance. 6.PTs provide care for people in a variety of settings, including hospitals, private practices, outpatient clinics, home health agencies, schools, sports and fitness facilities, work settings, and nursing homes. State licensure is required in each state in which a PT practices.",best-effort
DIFS,050,Occupational Therapy,Ancillary,225X00000X,,Occupational Therapist,,Occupational Therapist,best-effort
DIFS,051,Speech Therapy,Ancillary,235Z00000X,"Speech, Language and Hearing Service Providers",Speech-Language Pathologist,,"The speech-language pathologist is the professional who engages in clinical services, prevention, advocacy, education, administration, and research in the areas of communication and swallowing across the life span from infancy through geriatrics. Speech-language pathologists address typical and atypical impairments and disorders related to communication and swallowing in the areas of speech sound production, resonance, voice, fluency, language (comprehension and expression), cognition, and feeding and swallowing.",best-effort
DIFS,101,Primary Care - Pediatric,Primary Care,208000000X,Allopathic & Osteopathic Physicians,Pediatrics,,"A pediatrician is concerned with the physical, emotional and social health of children from birth to young adulthood. Care encompasses a broad spectrum of health services ranging from preventive healthcare to the diagnosis and treatment of acute and chronic diseases. A pediatrician deals with biological, social and environmental influences on the developing child, and with the impact of disease and dysfunction on development.",best-effort
DIFS,102,Social Worker,Behavioral Health,104100000X,Behavioral Health & Social Service Providers,Social Worker,,"A social worker is a person who is qualified by a Social Work degree, and licensed, certified or registered by the state as a social worker to practice within the scope of that license.  A social worker provides assistance and counseling to clients and their families who are dealing with social, emotional and environmental problems. Social work services may be rendered to individuals, families, groups, and the public.",best-effort
DIFS,103,Psychologist,Behavioral Health,103TC0700X,Behavioral Health & Social Service Providers,Psychologist,Clinical,"A psychologist who provides continuing and comprehensive mental and behavioral health care for individuals and families; consultation to agencies and communities; training, education and supervision; and research-based practice. It is a specialty in breadth -- one that is broadly inclusive of severe psychopathology -- and marked by comprehensiveness and integration of knowledge and skill from a broad array of disciplines within and outside of psychology proper. The scope of clinical psychology encompasses all ages, multiple diversities and varied systems.",best-effort
DIFS,105,Marriage & Family Therapist,Behavioral Health,106H00000X,,Marriage & Family Therapist,,Marriage & Family Therapist,best-effort
DIFS,106,Addiction (SUD) Counselor,Behavioral Health,101YP2500X,Behavioral Health & Social Service Providers,Counselor,Professional,Definition to come...,best-effort
DIFS,107,Counselor (Mental Health & Professional),Behavioral Health,101YM0800X,,Counselor,,Mental Health Counselor,best-effort
DIFS,108,Behavioral Health - Advanced Practice RN,Behavioral Health,363L00000X,Physician Assistants & Advanced Practice Nursing Providers,Nurse Practitioner,,"(1) A registered nurse provider with a graduate degree in nursing prepared for advanced practice involving independent and interdependent decision making and direct accountability for clinical judgment across the health care continuum or in a certified specialty. (2) A registered nurse who has completed additional training beyond basic nursing education and who provides primary health care services in accordance with state nurse practice laws or statutes. Tasks performed by nurse practitioners vary with practice requirements mandated by geographic, political, economic, and social factors. Nurse practitioner specialists include, but are not limited to, family nurse practitioners, gerontological nurse practitioners, pediatric nurse practitioners, obstetric-gynecologic nurse practitioners, and school nurse practitioners.",best-effort
DIFS,201,Dental - General,Dental,122300000X,Dental Providers,Dentist,,"A dentist is a person qualified by a doctorate in dental surgery (D.D.S.) or dental medicine (D.M.D.), licensed by the state to practice dentistry, and practicing within the scope of that license.  There is no difference between the two degrees: dentists who have a DMD or DDS have the same education.  Universities have the prerogative to determine what degree is awarded.  Both degrees use the same curriculum requirements set by the American Dental Association's Commission on Dental Accreditation.  Generally, three or more years of undergraduate education plus four years of dental school is required to graduate and become a general dentist.  State licensing boards accept either degree as equivalent, and both degrees allow licensed individuals to practice the same scope of general dentistry.  Additional post-graduate training is required to become a dental specialist.",best-effort
DIFS,202,Dental - Orthodontist,Dental,1223X0400X,,Dentist,,Orthodontics and Dentofacial Orthopedics Dentistry,best-effort
DIFS,203,Dental - Periodontist,Dental,1223D0004X,Dental Providers,Dentist,Dental Anesthesiology,"A dentist who has successfully completed an accredited postdoctoral anesthesiology residency training program for dentists of two or more years duration, in accord with Commission on Dental Accreditation's Standards for Dental Anesthesiology Residency Programs, and/or meets the eligibility requirements for examination by the American Dental Board of Anesthesiology.",best-effort
DIFS,204,Dental - Endodontist,Dental,1223E0200X,,Dentist,,Endodontics,best-effort
DIFS,206,Dental - Prosthodontist,Dental,1223P0700X,Dental Providers,Dentist,Prosthodontics,"That branch of dentistry pertaining to the restoration and maintenance of oral functions, comfort, appearance and health of the patient by the restoration of natural teeth and/or the replacement of missing teeth and contiguous oral and maxillofacial tissues with artificial substitutes.",best-effort
DIFS,P201,Pediatric Dental,Dental,1223D0001X,Dental Providers,Dentist,Dental Public Health,"The science and art of preventing and controlling dental diseases and promoting dental health through organized community efforts.  It is that form of dental practice that serves the community as a patient rather than the individual.  It is concerned with the dental health education of the public, with applied dental research, and with the administration of group dental care programs as well as the prevention and control of dental diseases on a community basis.",best-effort
DIFS,800,Addiction Medicine Physician,Behavioral Health,207RA0401X,Allopathic & Osteopathic Physicians,Internal Medicine,Addiction Medicine,An internist doctor of osteopathy that specializes in the treatment of addiction disorders.  A doctor of osteopathy that is board eligible/certified by the American Osteopathic Board of Internal Medicine can obtain a Certificate of Added Qualifications in the field of Addiction Medicine.,best-effort
DIFS,801,Behavioral Analyst,Behavioral Health,101YP2500X,Behavioral Health & Social Service Providers,Counselor,Professional,Definition to come...,best-effort
DIFS,040,Acute Inpatient Hospitals,Facility,,,,,,best-effort
DIFS,041,Cardiac Surgery Program,Facility,,,,,,best-effort
DIFS,042,Cardiac Catheterization Services,Facility,,,,,,best-effort
DIFS,043,Critical Care Services - ICU,Facility,,,,,,best-effort
DIFS,045,Surgical Services (ASC/Outpatient),Facility,,,,,,best-effort
DIFS,046,Skilled Nursing Facilities,Facility,,,,,,best-effort
DIFS,047,Diagnostic Radiology,Facility,,,,,,best-effort
DIFS,048,Mammography,Facility,,,,,,best-effort
DIFS,052,Inpatient Psychiatry,Facility,,,,,,best-effort
DIFS,057,Outpatient Infusion/Chemotherapy,Facility,,,,,,best-effort
DIFS,072,Substance Abuse Rehabilitation Facility,Facility,,,,,,best-effort
DIFS,076,Mental Health Residential Treatment Facility,Facility,,,,,,best-effort
DIFS,080,Urgent Care,Facility,,,,,,best-effort
DIFS,P072,Children's Substance Abuse Rehabilitation Facility,Facility,,,,,,best-effort
DIFS,P076,Children's Residential Treatment Facility,Facility,,,,,,best-effort
